Cert ID,Brand,Model,Product Type,Standard,Standard Version,Model Version,Release Year,Testing Laboratory,Test Date,Product Link,Manual Link,Picture 1,Picture 2,Manufacturer Email
approved_gear_13,Aki Slacklines,Lynx 5,Webbing Locker,ISA:51,1.0,1,2021,"Siebert Consulting, Vienna, Austria",06.2021,https://aki-slacklines.de/en/hardware/weblocks/203/aki-lynx-5-webbing-locker,https://aki-slacklines.de/en/hardware/weblocks/203/aki-lynx-5-webbing-locker,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Aki_Lynx5.0_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Aki_Lynx5.0_1_02.jpg,info@aki-slacklines.de
approved_gear_5,Balance Community,Alpine Weblock 5,Webbing Locker,ISA:51,1.0,5,2020,"Siebert Consulting, Vienna, Austria",06.2020,https://www.balancecommunity.com/products/alpine-weblock-5,,https://www.slacklineinternational.org/wp-content/uploads/2023/07/BalanceCommunity_Alpine5.0_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/BalanceCommunity_Alpine5.0_1_02.jpg,info@balance-community.com
approved_gear_7,Balance Community,Wafer,Webbing Grab,ISA:61,1.0,1,2019,"Siebert Consulting, Vienna, Austria",06.2020,https://www.balancecommunity.com/products/wafer?variant=31265207484474,,https://www.slacklineinternational.org/wp-content/uploads/2026/09/wafer-hero.jpg,https://www.slacklineinternational.org/wp-content/uploads/2026/09/wafer-splice.jpg,info@balance-community.com
approved_gear_29,Balance Community,Wafer 2.0,Webbing Grab,ISA:61,2024,2,2025,"Siebert Consulting, Vienna, Austria",2024,https://www.balancecommunity.com/products/wafer-2-0?variant=39920846012474,https://www.balancecommunity.com/cdn/shop/files/Wafer-2.0-Manual-v1.5.pdf?v=13881911036479759168,https://www.slacklineinternational.org/wp-content/uploads/2026/04/BalanceCommunity_Wafer2.0_2_01.webp,https://www.slacklineinternational.org/wp-content/uploads/2026/04/BalanceCommunity_Wafer2.0_2_02.webp,info@balance-community.com
approved_gear_30,Balance Community,Wafer XL,Webbing Grab,ISA:61,2024,1,2025,"Siebert Consulting, Vienna, Austria",2024,https://www.balancecommunity.com/products/wafer-xl?variant=40456701870138,https://www.balancecommunity.com/cdn/shop/files/Wafer-XL-Manual-v1.3.pdf?v=16345089136561165735,https://www.slacklineinternational.org/wp-content/uploads/2026/04/BalanceCommunity_WaferXL_2_01.webp,https://www.slacklineinternational.org/wp-content/uploads/2026/04/BalanceCommunity_WaferXL_1_02.webp,info@balance-community.com
approved_gear_31,Balance Community,Loop,Leashring,ISA:37,2024,1,2025,"Siebert Consulting, Vienna, Austria",2024,https://www.balancecommunity.com/collections/leash-rings/products/bc-aluminum-leash-ring?variant=40773586190394,https://www.balancecommunity.com/cdn/shop/files/Loop-Manual-v1.3.pdf?v=6832458307453720302,https://www.slacklineinternational.org/wp-content/uploads/2026/05/BalanceCommunity_LOOP_1_1.webp,https://www.slacklineinternational.org/wp-content/uploads/2026/05/BalanceCommunity_LOOP_1_2.webp,info@balance-community.com
approved_gear_32,Balance Community,Threaded Highline Leash,Leash Teather,ISA:37,2024,1,2026,not needed,2025,https://www.balancecommunity.com/products/threaded-highline-leash-kit?variant=19289117589573,https://www.balancecommunity.com/cdn/shop/files/Loop-Manual-v1.3.pdf?v=6832458307453720302,https://www.slacklineinternational.org/wp-content/uploads/2026/04/BalanceCommunity_ThreadedHighlineLeash_1_01.webp,https://www.slacklineinternational.org/wp-content/uploads/2026/04/BalanceCommunity_ThreadedHighlineLeash_1_02.webp,info@balance-community.com
approved_gear_33,"Cong Gear / Shanghai Balance Sports Development Co., Ltd.",Path,Webbing - Sewn Loop,ISA:41,2026,1,2026,"Siebert Consulting, Vienna, Austria",2026,https://www.instagram.com/cong_gear/,https://drive.google.com/file/d/1xCVMeXOjyR8m8FacjDK1GF4hDiHC8NJz/view,https://www.slacklineinternational.org/wp-content/uploads/2026/09/path2.jpg,https://www.slacklineinternational.org/wp-content/uploads/2026/09/path.jpg,riodinho.x@gmail.com
approved_gear_28,Slack Inov,Zenlock,Webbing Locker,ISA:51,2024,1,2025,"Siebert Consulting, Vienna, Austria",2024,https://slack-inov.com/shop/fr/bananas/989-6420-zenlock-weblock-7616999009.html,https://slack-inov.com/shop/fr/index.php?controller=attachment&id_attachment=30,https://www.slacklineinternational.org/wp-content/uploads/2025/04/zenlock.jpg,https://www.slacklineinternational.org/wp-content/uploads/2025/04/zenlock2.jpg,development@slackit.it
approved_gear_12,SlackX,Orange,Webbing Locker,ISA:51,1.0,B1/B2,2020,"Siebert Consulting, Vienna, Austria",05.2021,https://slackx.eu/Products/Orange/,https://slackx.eu/.cm4all/uproc.php/0/Manual%20Orange%20v1.0.pdf?cdp=a&_=187fd373b20,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Radrigs_Orange_B1-B2_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Radrigs_Orange_B1-B2_02.jpg,info@slackx.eu
