FULL STRETCH CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN - Stretch chart To understand better the dynamic of your webbing (untill breakage),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR - Courbe d'élasticité pour bien comprendre la dynamique de ta sangle (jusqu'à rupture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT- Grafico di elasticità per comprendere meglio la dinamica della vostra fettuccia (fino alla rottura),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRETCH CHART (kN),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
TENDER (PES),1.8%,2.5%,3.8%,5.1%,6.4%,7.6%,8.8%,10.0%,11.1%,12.2%,12.8%,13.4%,14.0%,14.5%,15.0%,15.6%,16.2%,16.8%,17.4%,18.0%,18.4%,19.2%,,,,,,,,,,,,,,,,,,,
FLY (PES),0.4%,0.7%,1.1%,1.5%,1.9%,2.4%,2.9%,3.6%,4.4%,5.1%,5.6%,6.1%,6.6%,7.1%,7.5%,8.0%,8.5%,9.0%,9.5%,9.9%,9.9%,10.3%,10.7%,11.0%,11.3%,11.7%,12.0%,12.4%,12.8%,13.2%,13.8%,,,,,,,,,,
ZAO (PES),1.6%,2.5%,3.8%,4.8%,5.3%,5.7%,6.1%,6.6%,7.2%,7.8%,8.5%,9.2%,9.9%,10.6%,11.3%,12.0%,12.7%,13.3%,13.9%,14.5%,11.8%,12.1%,12.4%,12.8%,13.2%,13.6%,14.0%,14.4%,14.8%,15.2%,15.7%,16.4%,17.1%,17.2%,,,,,,,
EDGE (PES),0.3%,0.5%,0.8%,1.1%,1.4%,1.8%,2.4%,3.0%,3.7%,4.4%,5.0%,5.6%,6.2%,6.7%,7.2%,7.6%,8.0%,8.4%,8.8%,9.2%,,,,,,,,,,,,,,,,,,,,,
JUMBO (PES),2.0%,3.0%,3.8%,4.4%,4.9%,5.4%,5.8%,6.2%,6.6%,7.0%,7.4%,7.8%,8.2%,8.6%,9.0%,9.3%,9.6%,9.9%,10.2%,10.5%,11.0%,11.3%,11.6%,12.0%,12.2%,12.5%,12.8%,13.0%,13.3%,13.6%,14.0%,14.3%,14.6%,14.9%,15.3%,,,,,,
NYLOVE (PA),2.9%,4.1%,5.2%,6.4%,7.8%,9.0%,10.0%,10.8%,11.5%,12.2%,12.9%,13.6%,14.3%,14.9%,15.5%,16.0%,16.5%,16.9%,17.3%,17.6%,,,,,,,,,,,,,,,,,,,,,
LEMON HAZE (UHMPE-PES),1.6%,2.5%,3.3%,4.0%,4.6%,5.1%,5.5%,6.0%,6.3%,6.6%,6.8%,7.2%,7.4%,7.6%,7.8%,8.0%,8.2%,8.5%,8.6%,8.8%,8.8%,9.1%,9.2%,9.4%,9.6%,9.8%,9.8%,10.0%,10.2%,10.4%,10.5%,,,,,,,,,,
GREEN MAMBA(PES) ,0.6%,1.3%,1.9%,2.5%,3.2%,4.0%,4.3%,4.6%,4.9%,5.2%,5.5%,5.8%,6.2%,6.6%,7.1%,7.5%,8.0%,8.5%,9.0%,9.6%,9.6%,10.1%,10.5%,10.8%,11.2%,11.7%,12.2%,12.8%,,,,,,,,,,,,,
PANTHER (PA),7.8%,10.3%,12.3%,14.5%,16.1%,17.5%,18.8%,20.1%,21.0%,21.9%,22.9%,23.6%,24.3%,25.1%,25.9%,26.5%,27.2%,28.1%,29.0%,29.7%,30.5%,31.8%,33.0%,34.0%,,,,,,,,,,,,,,,,,
COSMIC (PES),0.5%,1.0%,1.4%,1.9%,2.4%,2.8%,3.3%,3.8%,4.3%,4.8%,5.3%,5.7%,6.0%,6.4%,6.8%,7.1%,7.4%,7.7%,8.0%,8.4%,8.7%,9.0%,9.2%,9.5%,9.8%,10.0%,10.4%,10.6%,11.0%,11.2%,11.8%,,,,,,,,,,
JOKER (PES+PA),0.8%,1.6%,2.2%,2.9%,3.6%,4.3%,5.0%,5.7%,6.4%,7.2%,7.9%,8.5%,9.2%,9.8%,10.4%,10.8%,11.2%,11.6%,12.0%,12.4%,12.7%,13.0%,13.4%,13.8%,14.2%,14.6%,15.3%,15.6%,16.0%,,,,,,,,,,,,
