"STATUS 
[ACTIVE - INACTIVE]",PRODUCT NAME,BRAND,"MBS
80 MM DIVERTER 
(kN)","3σ MBS Weblock
(kN)","3σ MBS 
Sewnloop
(kN)","3σ MBS 
Linelock Ring
(kN)","MBS 6 month outdoor expo
(kN)",C - CAPACITY [J/N],STRETCH CHART (kN),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,FULL STRETCH CHART (kN),21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
A,TENDER (PES),SPIDER,23,21.4,20.9,20.9,20.4,2482,,1.8%,2.5%,3.8%,5.1%,6.4%,7.6%,8.8%,10.0%,11.1%,12.2%,12.8%,13.4%,14.0%,14.5%,15.0%,15.6%,16.2%,16.8%,17.4%,18.0%,,18.4%,19.2%,,,,,,,,,,,,,
A,FLY (PES),SPIDER,33,32.3,30.4,30.4,29.6,2300,,0.4%,0.7%,1.1%,1.5%,1.9%,2.4%,2.9%,3.6%,4.4%,5.1%,5.6%,6.1%,6.6%,7.1%,7.5%,8.0%,8.5%,9.0%,9.5%,9.9%,,9.9%,10.3%,10.7%,11.0%,11.3%,11.7%,12.0%,12.4%,12.8%,13.2%,13.8%,,,,
A,ZAO (PES),SPIDER,31,30.3,29.1,29.1,27,3392,,1.6%,2.5%,3.8%,4.8%,5.3%,5.7%,6.1%,6.6%,7.2%,7.8%,8.5%,9.2%,9.9%,10.6%,11.3%,12.0%,12.7%,13.3%,13.9%,14.5%,,11.8%,12.1%,12.4%,12.8%,13.2%,13.6%,14.0%,14.4%,14.8%,15.2%,15.7%,16.4%,17.1%,17.2%,
A,EDGE (PES),SPIDER,35,32.7,34.1,34.1,31,2600,,0.3%,0.5%,0.8%,1.1%,1.4%,1.8%,2.4%,3.0%,3.7%,4.4%,5.0%,5.6%,6.2%,6.7%,7.2%,7.6%,8.0%,8.4%,8.8%,9.2%,,,,,,,,,,,,,,,,
A,JUMBO (PES),SPIDER,35,29.6,33.3,33.3,27,3290,,2.0%,3.0%,3.8%,4.4%,4.9%,5.4%,5.8%,6.2%,6.6%,7.0%,7.4%,7.8%,8.2%,8.6%,9.0%,9.3%,9.6%,9.9%,10.2%,10.5%,,11.0%,11.3%,11.6%,12.0%,12.2%,12.5%,12.8%,13.0%,13.3%,13.6%,14.0%,14.3%,14.6%,14.9%,15.3%
A,NYLOVE (PA),SPIDER,31,27.2,26.2,26.2,22.5,4443,,2.9%,4.1%,5.2%,6.4%,7.8%,9.0%,10.0%,10.8%,11.5%,12.2%,12.9%,13.6%,14.3%,14.9%,15.5%,16.0%,16.5%,16.9%,17.3%,17.6%,,,,,,,,,,,,,,,,
A,LEMON HAZE (UHMPE-PES),SPIDER,31,25,31,27,22,2261,,1.6%,2.5%,3.3%,4.0%,4.6%,5.1%,5.5%,6.0%,6.3%,6.6%,6.8%,7.2%,7.4%,7.6%,7.8%,8.0%,8.2%,8.5%,8.6%,8.8%,,8.8%,9.1%,9.2%,9.4%,9.6%,9.8%,9.8%,10.0%,10.2%,10.4%,10.5%,,,,
A,GREEN MAMBA(PES) ,SPIDER,28,26,27,27,22,1938,,0.6%,1.3%,1.9%,2.5%,3.2%,4.0%,4.3%,4.6%,4.9%,5.2%,5.5%,5.8%,6.2%,6.6%,7.1%,7.5%,8.0%,8.5%,9.0%,9.6%,,9.6%,10.1%,10.5%,10.8%,11.2%,11.7%,12.2%,12.8%,,,,,,,
A,PANTHER (PA),SPIDER,24,23.2,21,20,18,4692,,7.8%,10.3%,12.3%,14.5%,16.1%,17.5%,18.8%,20.1%,21.0%,21.9%,22.9%,23.6%,24.3%,25.1%,25.9%,26.5%,27.2%,28.1%,29.0%,29.7%,,30.5%,31.8%,33.0%,34.0%,,,,,,,,,,,
I,PLASMA (PES),INOV,40,32.6,34.8,34.8,31.8,,,1.0%,1.5%,2.5%,2.8%,3.2%,3.6%,4.0%,4.6%,5.3%,6.0%,6.6%,7.2%,7.9%,8.6%,9.2%,9.6%,10.1%,10.5%,11.0%,11.6%,,,,,,,,,,,,,,,,
A,COSMIC (PES),INOV,31,27.4,28.7,28.7,20.5,2003,,0.5%,1.0%,1.4%,1.9%,2.4%,2.8%,3.3%,3.8%,4.3%,4.8%,5.3%,5.7%,6.0%,6.4%,6.8%,7.1%,7.4%,7.7%,8.0%,8.4%,,8.7%,9.0%,9.2%,9.5%,9.8%,10.0%,10.4%,10.6%,11.0%,11.2%,11.8%,,,,
A,JOKER (PES+PA),INOV,27,26,25.2,25.2,21.4,2641,,0.8%,1.6%,2.2%,2.9%,3.6%,4.3%,5.0%,5.7%,6.4%,7.2%,7.9%,8.5%,9.2%,9.8%,10.4%,10.8%,11.2%,11.6%,12.0%,12.4%,,12.7%,13.0%,13.4%,13.8%,14.2%,14.6%,15.3%,15.6%,16.0%,,,,,,
I,DONKEY (PA),INOV,32,30.7,33.7,33.7,22.8,,,2.5%,4.0%,6.0%,6.6%,7.2%,8.0%,8.8%,9.6%,10.4%,11.2%,11.8%,12.4%,13.0%,13.5%,14.0%,14.4%,14.8%,15.2%,15.6%,16.0%,,,,,,,,,,,,,,,,
I,BOOM BOOM (PA),INOV,27,27.6,27,27,N/A,3470,,3.0%,4.5%,6.5%,9.0%,11.5%,12.5%,13.5%,14.5%,15.3%,16.0%,16.5%,16.9%,17.3%,17.6%,17.8%,18.1%,18.5%,18.9%,19.5%,20.5%,,,,,,,,,,,,,,,,
I,RODEO LINE NOVA (PA),INOV,27,N/R,25,25,17,2669,,3.0%,4.0%,6.0%,8.0%,9.2%,10.2%,11.2%,12.2%,13.1%,14.0%,14.8%,15.5%,16.1%,16.7%,17.2%,17.8%,18.4%,19.0%,19.5%,20.0%,,,,,,,,,,,,,,,,
A,ABYSSES (PA),INOV,32,28.8,39.2,30.2,26.5,4803,,3.0%,4.5%,6.0%,8.0%,10.0%,11.5%,13.0%,13.8%,14.5%,15.3%,16.0%,16.6%,17.2%,17.8%,18.4%,18.9%,19.4%,19.9%,20.4%,20.8%,,21.2%,21.5%,22.0%,22.5%,22.8%,23.4%,23.9%,24.4%,27.0%,,,,,,
I,SOLID(PES),INOV,31,25,25,25,N/A,2743,,0.5%,1.0%,1.5%,2.0%,2.5%,3.5%,4.5%,5.5%,7.0%,7.5%,8.5%,8.8%,9.2%,10.0%,10.3%,10.5%,11.0%,11.3%,11.9%,12.2%,,12.5%,12.8%,13.2%,13.7%,14.1%,14.6%,15.2%,15.6%,16.4%,17.5%,,,,,
A,SKYDIAMOND (DYN HIBRID),INOV,32,N/R,31,19,30.45,1405,,0.6%,1.2%,1.6%,2.0%,2.4%,2.8%,3.1%,3.4%,3.6%,3.8%,4.0%,4.2%,4.4%,4.5%,4.6%,4.7%,4.7%,4.8%,4.8%,4.8%,,,,,,,,,,,,,,,,
I,BOOM BOOM 3 (PA),INOV,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
