brand,active,gear,country,website,facebook,source_active,new_img
Balance Community,,51,US,http://www.balancecommunity.com,https://www.facebook.com/BalanceCommunity,TRUE,https://www.balancecommunity.com/cdn/shop/t/2/assets/BC-logo.svg?v=52322123354578628061561255665
Equilibrium Slacklines (EQB),,43,CZ,https://www.slackshop.cz/en/,https://www.facebook.com/eqb.cz,TRUE,
Slack Mountain,,37,FR,http://slack-mountain.com,https://www.facebook.com/slackmountain,TRUE,
Slacktivity,,35,CH,http://www.slacktivity.com,https://www.facebook.com/slacklinetechnology,TRUE,https://slacktivity.com/wp-content/uploads/2021/01/slacktivity-slackline-online-shop-1.png
Landcruising,,27,DE,,https://www.facebook.com/landcruising.slackline,FALSE,
Spider Slacklines,,27,IT,http://www.spider-slacklines.com,https://www.facebook.com/SpiderSlacklines,TRUE,
Raed Slacklines,,22,DE,https://raed-slacklines.com,https://www.facebook.com/raedslacklines,TRUE,
Slack Inov,,21,FR,http://slack-inov.com/gb,https://www.facebook.com/slack.inov,TRUE,
Slack.fr,,18,FR,http://slack.fr,https://www.facebook.com/Slack.fr,unknown,
Slack house,,13,PL,http://slackhouseshop.pl,https://www.facebook.com/slackhouse.official,TRUE,
Slackliner.de,,13,DE,https://www.slackliner.de,https://www.facebook.com/Slackliner.de,TRUE,
Slackstar,,13,DE,http://slackstar.de,,TRUE,
Souz Slackline,,13,RU,https://souzslackline.com,,FALSE,https://p.kagi.com/proxy/images?c=_m3km2RjA3G0qleowsZXHZb9NEn0fSsEYIHbKzMDyAFb4nUPIanknmQV_g0rmdCIuB43p-WvbkQiYFylCNaC8bxQuYXsW8VZlzP0QF9XC6-byeXs4Y9z0caWu_bwF_92bAkDjuW3BF0oLrqKL5JXRg%3D%3D
Aki Slacklines,,12,DE,https://aki-slacklines.de,https://www.facebook.com/AkiSlack/,FALSE,
Line Spirit,,12,FR,,https://www.facebook.com/LineSpirit,FALSE,
Petram Slacklines,,11,PL,https://petramslacklines.site123.me/,https://www.facebook.com/Petram.Slackline,TRUE,
lineGrip (formerly Slack Pro!),,11,DE,http://www.slackpro.de,https://www.facebook.com/Slackpro-157374974272544,TRUE,
Slackline Industries,,8,US,http://www.slacklineindustries.com,https://www.facebook.com/SlacklineIndustries,TRUE,
Slackline tools,,8,DE,https://www.slackline-tools.de,https://www.facebook.com/SlacklineTools,FALSE,
Elephant Slacklines,,7,DE,http://www.elephant-slackline.com,https://www.facebook.com/ElephantSlacklines,FALSE,
Slacklife BC,,7,CA,http://slacklifebc.com,https://www.facebook.com/SlacklifeBC,FALSE,
Dakas,,6,FR,,https://www.facebook.com/Dakas.Slackline,FALSE,
Middle Way Slacklines,,6,IL,http://www.middlewayslacklines.com,https://www.facebook.com/MiddleWaySlacklines,TRUE,
SlackGear,,6,ZA,http://www.slackgear.co.za,https://www.facebook.com/slackgear,TRUE,
ZERGE outdoor,,6,GB,http://zergeoutdoor.com,https://www.facebook.com/zergeoutdoor,FALSE,
Cat on slack,,5,PL,http://www.catonslack.com,https://www.facebook.com/CatOnSlack,FALSE,
Easy Slackline,,4,FR,http://www.easy-slackline.fr,https://www.facebook.com/EasySlackline.CO,FALSE,
Gibbon,,4,DE,http://www.gibbon-slacklines.com,https://www.facebook.com/Gibbon-Slacklines-85859466425,TRUE,
